name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
würzburg,2024-01-01T00:00:00,4.8,2.3,2.9,87.5,0,0,,0,0,24.5,10.4,198.7,1008,71.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
würzburg,2024-01-01T01:00:00,4.9,1.8,1.9,80.73,0,0,,0,0,23.8,14,200,1009,72.5,23,0,0,0,,Partially cloudy,partly-cloudy-night,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T02:00:00,6.2,1.9,2.1,75.01,0,0,,0,0,25.9,26.6,210,1008.4,76.7,45,0,0,0,,Partially cloudy,partly-cloudy-night,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T03:00:00,6.2,1.9,2.2,75.55,0,0,,0,0,31,25.9,230,1008.9,79.7,44,0,0,0,,Partially cloudy,partly-cloudy-night,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T04:00:00,5.7,1.5,2.4,79.25,0,0,,0,0,34.2,23.8,220,1008.7,95.8,36,0,0,0,,Overcast,cloudy,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T05:00:00,5.4,1.1,2.9,83.77,0.003,100,rain,0,0,36.4,24.1,220,1008.9,100,26,0,0,0,,"Rain, Overcast",rain,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T06:00:00,5.4,1.3,3.1,84.97,0.095,100,rain,0,0,37.4,22.3,210,1009,82.8,29,0,0,0,,"Rain, Partially cloudy",rain,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T07:00:00,5.2,0.9,3,86.07,0,0,,0,0,31.3,23.8,220,1009.1,65.3,34,0,0,0,,Partially cloudy,partly-cloudy-night,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T08:00:00,5.4,1.4,3.1,85.31,0.095,100,rain,0,0,33.8,21.6,240,1009.9,69.8,37,0,0,0,,"Rain, Partially cloudy",rain,"00191,05705,C0060,06336,02600"
würzburg,2024-01-01T09:00:00,5.2,0.8,3.1,86.54,0.284,100,rain,0,0,36,24.5,230,1010.2,82.5,47,25,0.1,0,,"Rain, Partially cloudy",rain,"00191,05705,C0060,06336,02600"
