datum,name,hinweis
2024-01-01,Neujahrstag,
2024-01-06,Heilige Drei Könige,
2024-03-08,Frauentag,
2024-03-28,Gründonnerstag,
2024-03-29,Karfreitag,
2024-03-31,Ostersonntag,
2024-04-01,Ostermontag,
2024-05-01,Tag der Arbeit,
2024-05-09,Christi Himmelfahrt,
2024-05-19,Pfingstsonntag,
2024-05-20,Pfingstmontag,
2024-05-30,Fronleichnam,
2024-08-08,Augsburger Friedensfest,
2024-08-15,Mariä Himmelfahrt,
2024-09-20,Weltkindertag,
2024-10-03,Tag der Deutschen Einheit,
2024-10-31,Reformationstag,
2024-11-01,Allerheiligen,
2024-11-20,Buß- und Bettag,
2024-12-25,1. Weihnachtstag,
2024-12-26,2. Weihnachtstag,
