name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T00:00:00,18.9,18.9,13.4,70.78,0,0,,0,0,29.5,13,320,1011.5,100,24.1,0,0,0,10,Overcast,cloudy,"00191,07187,05705,C0060,05149,06336,02600"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T01:00:00,17.8,17.8,13.2,74.34,0.006,100,rain,0,0,28.1,8.3,330,1011.8,100,24.1,0,0,0,10,"Rain, Overcast",rain,"00191,07187,05705,C0060,05149,06336,02600"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T02:00:00,17,17,15,88.01,0,0,,0,0,20.2,11.2,270,1011.9,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T03:00:00,17,17,15,88.01,0,0,,0,0,20.2,7.6,260,1012.2,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T04:00:00,16,16,14,87.92,0,0,,0,0,13.3,9.4,240,1012.5,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T05:00:00,15,15,13,87.83,0,0,,0,0,10.8,11.2,250,1012.9,88,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T06:00:00,15,15,13,87.83,0,0,,0,0,9,9.4,280,1013.6,100,10,7,0,0,10,Overcast,cloudy,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T07:00:00,15,15,12,82.26,0,0,,0,0,6.5,7.6,260,1013.9,88,10,19,0.1,0,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T08:00:00,16,16,12,77.15,0,0,,0,0,16.2,0,0,1013.9,0,10,26,0.1,0,10,Clear,clear-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T09:00:00,17,17,12,72.39,0,0,,0,0,21.6,9.4,260,1014.2,50,10,65,0.2,1,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T10:00:00,17,17,11,67.76,0,0,,0,0,21.6,9.4,230,1014.2,50,10,216,0.8,2,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T11:00:00,18,18,11,63.61,0,0,rain,0,0,23.4,13,240,1014.6,88,10,373,1.3,4,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T12:00:00,19,19,11,59.75,0,0,,0,0,26.3,5.4,260,1014.2,88,10,111,0.4,1,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T13:00:00,19,19,11,59.75,0,0,,0,0,29.5,13,270,1014.2,88,10,255,0.9,3,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T14:00:00,22,22,10,46.45,0,0,rain,0,0,29.5,13,250,1013.9,50,10,608,2.2,6,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T15:00:00,21,21,10,49.39,0,0,rain,0,0,28.8,7.6,270,1013.9,88,10,317,1.1,3,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T16:00:00,22,22,10,46.45,0,0,rain,0,0,27.4,7.6,270,1013.6,88,10,601,2.2,6,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T17:00:00,22,22,10,46.45,0,0,rain,0,0,27.7,7.6,210,1013.6,50,10,393,1.4,4,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T18:00:00,22,22,10,46.45,0,0,,0,0,26.3,7.6,210,1013.2,88,10,223,0.8,2,10,Partially cloudy,partly-cloudy-day,"ETIK,C0060"
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T19:00:00,21.9,21.9,9.4,44.89,0,6.5,rain,0,0,22.7,7.2,259.1,1012,59.3,24.1,327,1.2,3,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T20:00:00,21.3,21.3,9.7,47.52,0,6.5,rain,0,0,17.6,5,274.6,1012,62.2,24.1,189,0.7,2,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T21:00:00,19.5,19.5,10.6,56.4,0,0,,0,0,11.9,4.3,328.7,1013,65.7,24.1,65,0.2,1,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T22:00:00,18.2,18.2,11.1,63.24,0,0,,0,0,9.4,2.2,293.3,1014,45.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-13T23:00:00,17.5,17.5,10.4,63.08,0,0,,0,0,4.7,2.5,330.9,1014,19.6,24.1,0,0,0,10,Clear,clear-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T00:00:00,16.8,16.8,9.8,63.34,0,0,,0,0,4,0.7,346.6,1014,34.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T01:00:00,16,16,9.6,65.77,0,0,,0,0,3.6,2.9,177,1014,52.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T02:00:00,15.2,15.2,9.3,67.84,0,0,,0,0,3.6,1.8,257.1,1014,16.8,24.1,0,0,0,10,Clear,clear-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T03:00:00,14.3,14.3,9.3,71.9,0,0,,0,0,4,2.2,256.8,1014,59.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T04:00:00,13.5,13.5,9.1,74.71,0,0,,0,0,3.2,2.9,221.5,1014,27.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T05:00:00,13.1,13.1,8.9,75.66,0,0,,0,0,3.6,2.2,185,1014,4.8,24.1,0,0,0,10,Clear,clear-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T06:00:00,12.8,12.8,8.8,76.64,0,0,,0,0,2.9,1.8,183.5,1014,0,24.1,4,0,0,10,Clear,clear-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T07:00:00,13.8,13.8,9.7,76.29,0,0,,0,0,4.3,2.2,214.5,1014,0,24.1,79,0.3,1,10,Clear,clear-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T08:00:00,16.9,16.9,11.3,69.56,0,0,,0,0,5.4,1.4,219.2,1014,0,24.1,222,0.8,2,10,Clear,clear-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T09:00:00,19.4,19.4,11.3,59.45,0,3.2,,0,0,12.2,4.3,234.3,1014,0,24.1,384,1.4,4,10,Clear,clear-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T10:00:00,21.1,21.1,10.4,50.41,0,3.2,rain,0,0,20.2,7.2,248.7,1014,0,23.9,542,2,5,10,Clear,clear-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T11:00:00,22.2,22.2,9.1,43.2,0,3.2,,0,0,23,8.6,236,1014,67.3,24.1,681,2.5,7,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T12:00:00,22.6,22.6,7.8,38.6,0,3.2,,0,0,27.4,10.8,232.1,1014,71.2,24.1,677,2.4,7,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T13:00:00,23.8,23.8,7.9,36.15,0,3.2,,0,0,27.4,10.4,228.8,1014,88,24.1,845,3,8,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T14:00:00,24.4,24.4,7,32.79,0,3.2,,0,0,28.4,10.8,235.1,1013,94,24.1,856,3.1,9,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T15:00:00,25.2,25.2,7.4,32.13,0,0,,0,0,28.4,9.4,233.3,1013,24.7,24.1,812,2.9,8,10,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T16:00:00,25.8,25.8,5.6,27.39,0,0,,0,0,27,10.4,231.5,1013,99.3,24.1,682,2.5,7,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T17:00:00,25.1,25.1,5.8,28.95,0,0,,0,0,29.5,11.5,228,1013,100,24.1,594,2.1,6,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T18:00:00,24.5,24.5,6.6,31.71,0,0,,0,0,28.4,10.4,233.4,1013,100,24.1,375,1.3,4,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T19:00:00,23.5,23.5,7.3,35.33,0,0,,0,0,24.8,7.9,221.7,1013,100,24.1,119,0.4,1,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T20:00:00,22.5,22.5,9.2,42.7,0,0,,0,0,18.4,4,201.8,1013,97,24.1,70,0.3,1,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T21:00:00,21.2,21.2,11.2,52.84,0,0,,0,0,9,2.5,227.8,1014,81.5,24.1,36,0.1,0,3,Partially cloudy,partly-cloudy-day,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T22:00:00,19.8,19.8,10.9,56.47,0,0,,0,0,4.3,2.5,276.7,1014,69.3,24.1,0,0,0,3,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-14T23:00:00,18.8,18.8,10.5,58.52,0,0,,0,0,4.7,2.5,279.2,1014,68,24.1,0,0,0,3,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T00:00:00,18.2,18.2,10.3,59.96,0,0,,0,0,4,2.2,210.3,1015,85,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T01:00:00,17.7,17.7,10.2,61.46,0,0,,0,0,3.6,1.4,222.1,1014,90.8,24.1,0,0,0,10,Overcast,cloudy,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T02:00:00,17.2,17.2,10.1,63.01,0,0,,0,0,4,1.8,223.1,1014,67.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T03:00:00,16.8,16.8,9.7,62.92,0,0,,0,0,3.6,2.2,267.5,1014,77.2,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T04:00:00,16.4,16.4,9.1,61.99,0,0,,0,0,2.9,1.8,254,1014,48.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"WÃ¼rzburg, Bayern, Deutschland",2024-07-15T05:00:00,15.8,15.8,8.8,63.12,0,0,,0,0,2.2,1.1,256.5,1014,31.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
