name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Würzburg, Bayern, Deutschland",2024-07-09T00:00:00,18.9,18.9,12.2,65.14,0,0,,0,0,6.8,1.4,150,1018,11.8,24.1,0,0,0,10,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T01:00:00,17.5,17.5,12.9,74.42,0,0,,0,0,6.5,2.5,120,1018.4,29.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T02:00:00,16.5,16.5,13,79.98,0,0,,0,0,5.8,2.5,110,1018.6,0,24.1,0,0,0,10,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T03:00:00,16,16,12.6,80.07,0,0,,0,0,5.8,1.4,70,1018.5,0,24.1,0,0,0,10,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T04:00:00,15.5,15.5,12.6,83.02,0,0,,0,0,5.8,0.4,360,1018.2,29.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T05:00:00,15.2,15.2,12.6,84.57,0,0,,0,0,6.1,3.2,60,1018.1,5.8,24.1,0,0,0,10,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T06:00:00,14.8,14.8,12.6,87.17,0,0,,0,0,6.1,5.4,20,1018.5,0,24.1,7,0,0,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T07:00:00,17,17,13.8,81.33,0,0,,0,0,6.1,3.6,80,1018.3,0,24.1,16,0.1,0,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T08:00:00,18.6,18.6,14.2,75.78,0,0,,0,0,12.2,1.4,230,1018,0,44,25,0.1,0,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T09:00:00,21.6,21.6,16.1,71.25,0,0,,0,0,19.4,4.7,190,1017.6,0,47,64,0.2,1,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T10:00:00,23.7,23.7,16.9,65.65,0,0,,0,0,22.3,4.7,140,1017.2,0,24.1,617,2.2,6,3,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T11:00:00,25.7,25.7,17.6,60.98,0,0,,0,0,23.8,10.4,130,1016.9,0,24.1,710,2.6,7,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T12:00:00,27.6,28.3,17.6,54.56,0,0,,0,0,24.1,10.8,130,1016.3,8.2,24.1,809,2.9,8,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T13:00:00,28.9,29.5,17.5,50.46,0,0,,0,0,25.6,9,130,1015.8,14.3,24.1,171,0.6,2,10,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T14:00:00,29.2,29.4,16.3,45.61,0,0,,0,0,25.2,10.1,150,1015.5,29.7,24.1,865,3.1,9,10,Partially cloudy,partly-cloudy-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T15:00:00,30.4,30.8,17,44.72,0,0,,0,0,25.6,13.7,170,1014.9,16.6,24.1,754,2.7,8,30,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T16:00:00,30.9,30.6,15.4,39.09,0,0,,0,0,25.2,11.5,180,1014.3,0,24.1,737,2.7,7,30,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T17:00:00,30.9,30.6,15.3,38.94,0,0,,0,0,24.1,11.5,180,1013.6,41.7,24.1,552,2,6,30,Partially cloudy,partly-cloudy-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T18:00:00,30.7,30.5,15.6,40.09,0,0,,0,0,22.7,12.2,160,1013.2,100,24.1,276,1,3,30,Overcast,cloudy,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T19:00:00,30.7,30.8,16.3,42.09,0,0,,0,0,19.1,8.3,190,1012.7,17.9,24.1,60,0.2,1,60,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T20:00:00,29.8,29.7,15.6,42.28,0,0,,0,0,10.8,8.6,160,1012.6,1.4,24.1,29,0.1,0,60,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T21:00:00,27.8,28.1,15.9,48.5,0,0,,0,0,8.6,8.3,130,1012.4,0,24.1,0,0,0,30,Clear,clear-day,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T22:00:00,25.5,25.5,17.4,60.64,0,0,,0,0,4.3,4,150,1013.3,0,24.1,0,0,0,30,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-09T23:00:00,24.5,24.5,16.7,61.96,0,0,,0,0,7.9,4,110,1013.6,0,24.1,0,0,0,30,Clear,clear-night,"00191,07187,05705,C0060,05149,06336,02600"
"Würzburg, Bayern, Deutschland",2024-07-10T00:00:00,23.4,23.4,17.2,67.87,0,0,,0,0,8.6,2.2,180,1013.9,100,31,0,0,0,3,Overcast,cloudy,"00191,07187,05705,C0060,05149,06336,02600"
